10278 0.00 0.00 0.00 N16_SRC NONE 9100 103.22 2.20 1 158798 8 532738 19991130 3111300 19991130 6392300 /data3/sno/mgb/output/sno_10278.root 1242594866
10288 0.00 0.00 0.00 N16_SRC NONE 9100 113.16 2.24 1 224334 8 599302 19991130 14325500 19991130 15020900 /data3/sno/mgb/output/sno_10288.root 196348455
10294 0.00 0.00 -530.00 N16_SRC NONE 9100 128.69 2.21 1 224334 8 533510 19991130 15361900 19991130 15453700 /data3/sno/mgb/output/sno_10294.root 79659126
10298 516.00 0.00 0.00 N16_SRC NONE 9100 112.59 2.17 1 224334 8 533510 19991130 16442800 19991130 17113200 /data3/sno/mgb/output/sno_10298.root 199681388
10301 298.00 0.00 0.00 N16_SRC NONE 9100 118.00 2.23 1 224334 8 533510 19991130 17160300 19991130 17431800 /data3/sno/mgb/output/sno_10301.root 206479755
10304 398.00 0.00 0.00 N16_SRC NONE 9100 126.62 2.17 1 224334 8 533510 19991130 17523300 19991130 18180100 /data3/sno/mgb/output/sno_10304.root 200342162
10307 198.00 0.00 0.00 N16_SRC NONE 9100 123.27 2.19 1 224334 8 533510 19991130 18262000 19991130 18515200 /data3/sno/mgb/output/sno_10307.root 193656212
10311 100.00 0.00 0.00 N16_SRC NONE 9100 123.98 2.19 1 224334 8 533510 19991130 19001000 19991130 19260100 /data3/sno/mgb/output/sno_10311.root 192473699
10314 -298.00 0.00 0.00 N16_SRC NONE 9100 126.54 2.18 1 224334 8 533510 19991130 19352800 19991130 20015700 /data3/sno/mgb/output/sno_10314.root 205133781
10317 -510.00 0.00 0.00 N16_SRC NONE 9100 135.93 2.20 1 224334 8 533510 19991130 20091700 19991130 20352400 /data3/sno/mgb/output/sno_10317.root 216312939
10320 -198.00 0.00 0.00 N16_SRC NONE 9100 127.59 2.19 1 224334 8 533510 19991130 20490300 19991130 21152500 /data3/sno/mgb/output/sno_10320.root 205053511
10323 -397.00 0.00 0.00 N16_SRC NONE 9100 128.51 2.18 1 224334 8 533510 19991130 21194400 19991130 21443500 /data3/sno/mgb/output/sno_10323.root 201068699
10326 -100.00 0.00 0.00 N16_SRC NONE 9100 122.06 2.18 1 224334 8 533510 19991130 21511700 19991130 22175100 /data3/sno/mgb/output/sno_10326.root 197201236
10328 220.00 0.00 220.00 N16_SRC NONE 9100 141.12 2.19 1 224334 8 9222 19991130 22294300 19991130 23050800 /data3/sno/mgb/output/sno_10328.root 291064979
10331 141.00 0.00 141.00 N16_SRC NONE 9100 115.09 2.15 1 224334 8 8198 19991130 23354400 19991130 23370300 /data3/sno/mgb/output/sno_10331.root 8536075
